bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
2608,,6,56,16,-48,43,16,258.60,-19.29,4.95,1522,M1III,6
6868,106    Her,18,20,18,21,57,41,49.63,16.40,4.95,1530,M1III,6
8904,4    Cas,23,24,50,62,16,58,113.05,1.08,4.98,1578,M1III,6
8433,Ups PsA,22,8,26,-34,2,38,11.53,-54.48,4.99,1604,M1III,6
4682,,12,18,60,-55,8,35,298.27,7.43,5.00,1617,M1III,6
7414,36    Aql,19,30,40,-2,47,20,34.93,-10.00,5.03,1689,M1III,6
2652,,7,0,52,-51,24,9,261.54,-19.48,5.14,1912,M1III,6
5739,9Tau1Ser,15,25,47,15,25,41,22.86,52.36,5.17,1995,M1III,6
1562,5    Ori,4,53,23,2,30,29,196.08,-24.71,5.33,2372,M1III,6
583,57    Cet,1,59,46,-20,49,28,194.60,-73.19,5.41,2583,M1III,6
3247,,8,13,34,-50,11,46,265.60,-8.65,5.51,2898,M1III,6
667,Pi 1Hyi,2,14,15,-67,50,30,291.57,-47.42,5.55,3024,M1III,6
3726,,9,21,51,-42,11,42,266.80,5.51,5.58,3146,M1III,6
8172,,21,23,1,-22,40,8,26.31,-42.85,5.60,3243,M1III,6
3763,,9,29,13,-20,44,55,252.00,21.54,5.66,3443,M1III,6
1793,,5,23,24,-39,40,43,244.40,-33.22,5.71,3628,M1III,6
1816,117    Tau,5,28,2,17,14,20,187.79,-9.64,5.77,3899,M1III,6
8458,,22,10,37,11,37,28,72.39,-35.02,5.78,3994,M1III,6
4754,,12,29,54,-56,31,29,299.95,6.22,5.80,4084,M1III,6
2725,52    Gem,7,14,42,24,53,6,192.70,15.88,5.82,4160,M1III,6
3610,,9,1,9,-68,41,2,284.45,-14.56,5.88,4413,M1III,6
4179,,10,38,59,-58,49,1,286.50,-0.24,5.92,4627,M1III,6
6251,,16,54,1,-57,54,34,330.88,-8.89,5.94,4747,M1III,6
7537,,19,50,14,-47,33,26,351.37,-29.27,5.94,4758,M1III,6
